Sample #	Bacteria	Treatment	Experiment	Group
MAE193	cl21	flg22minus	e1	cl21.flg22minus
MAE194	cl21	flg22minus	e1	cl21.flg22minus
MAE195	cl21	flg22minus	e1	cl21.flg22minus
MAE196	cl21	flg22plus	e1	cl21.flg22plus
MAE197	cl21	flg22plus	e1	cl21.flg22plus
MAE198	cl21	flg22plus	e1	cl21.flg22plus
MAE199	cl69	flg22minus	e1	cl69.flg22minus
MAE200	cl69	flg22minus	e1	cl69.flg22minus
MAE201	cl69	flg22minus	e1	cl69.flg22minus
MAE202	cl69	flg22plus	e1	cl69.flg22plus
MAE203	cl69	flg22plus	e1	cl69.flg22plus
MAE204	cl69	flg22plus	e1	cl69.flg22plus
MAE205	e.coli	flg22minus	e1	e.coli.flg22minus
MAE206	e.coli	flg22minus	e1	e.coli.flg22minus
MAE207	e.coli	flg22minus	e1	e.coli.flg22minus
MAE208	e.coli	flg22plus	e1	e.coli.flg22plus
MAE209	e.coli	flg22plus	e1	e.coli.flg22plus
MAE210	e.coli	flg22plus	e1	e.coli.flg22plus
MAE211	nb	flg22minus	e1	nb.flg22minus
MAE212	nb	flg22minus	e1	nb.flg22minus
MAE213	nb	flg22minus	e1	nb.flg22minus
MAE214	nb	flg22plus	e1	nb.flg22plus
MAE215	nb	flg22plus	e1	nb.flg22plus
MAE216	nb	flg22plus	e1	nb.flg22plus
MAE217	syncom	flg22minus	e1	syncom.flg22minus
MAE218	syncom	flg22minus	e1	syncom.flg22minus
MAE219	syncom	flg22minus	e1	syncom.flg22minus
MAE220	syncom	flg22plus	e1	syncom.flg22plus
MAE221	syncom	flg22plus	e1	syncom.flg22plus
MAE222	syncom	flg22plus	e1	syncom.flg22plus
MAE247	MF2	flg22minus	e2	MF2.flg22minus
MAE248	MF2	flg22minus	e2	MF2.flg22minus
MAE249	MF2	flg22minus	e2	MF2.flg22minus
MAE250	MF2	flg22plus	e2	MF2.flg22plus
MAE251	MF2	flg22plus	e2	MF2.flg22plus
MAE252	MF2	flg22plus	e2	MF2.flg22plus
MAE253	MF8	flg22minus	e2	MF8.flg22minus
MAE254	MF8	flg22minus	e2	MF8.flg22minus
MAE255	MF8	flg22minus	e2	MF8.flg22minus
MAE256	MF8	flg22plus	e2	MF8.flg22plus
MAE257	MF8	flg22plus	e2	MF8.flg22plus
MAE258	MF8	flg22plus	e2	MF8.flg22plus
MAE259	MF27	flg22minus	e2	MF27.flg22minus
MAE260	MF27	flg22minus	e2	MF27.flg22minus
MAE261	MF27	flg22minus	e2	MF27.flg22minus
MAE262	MF27	flg22plus	e2	MF27.flg22plus
MAE263	MF27	flg22plus	e2	MF27.flg22plus
MAE264	MF27	flg22plus	e2	MF27.flg22plus
MAE265	MF29	flg22minus	e2	MF29.flg22minus
MAE266	MF29	flg22minus	e2	MF29.flg22minus
MAE267	MF29	flg22minus	e2	MF29.flg22minus
MAE268	MF29	flg22plus	e2	MF29.flg22plus
MAE269	MF29	flg22plus	e2	MF29.flg22plus
MAE270	MF29	flg22plus	e2	MF29.flg22plus
MAE271	MF33	flg22minus	e2	MF33.flg22minus
MAE272	MF33	flg22minus	e2	MF33.flg22minus
MAE273	MF33	flg22minus	e2	MF33.flg22minus
MAE274	MF33	flg22plus	e2	MF33.flg22plus
MAE275	MF33	flg22plus	e2	MF33.flg22plus
MAE276	MF33	flg22plus	e2	MF33.flg22plus
MAE277	MF40	flg22minus	e2	MF40.flg22minus
MAE278	MF40	flg22minus	e2	MF40.flg22minus
MAE279	MF40	flg22minus	e2	MF40.flg22minus
MAE280	MF40	flg22plus	e2	MF40.flg22plus
MAE281	MF40	flg22plus	e2	MF40.flg22plus
MAE282	MF40	flg22plus	e2	MF40.flg22plus
MAE283	MF41	flg22minus	e2	MF41.flg22minus
MAE284	MF41	flg22minus	e2	MF41.flg22minus
MAE285	MF41	flg22minus	e2	MF41.flg22minus
MAE286	MF41	flg22plus	e2	MF41.flg22plus
MAE287	MF41	flg22plus	e2	MF41.flg22plus
MAE288	MF41	flg22plus	e2	MF41.flg22plus
MAE289	MF47	flg22minus	e2	MF47.flg22minus
MAE290	MF47	flg22minus	e2	MF47.flg22minus
MAE291	MF47	flg22minus	e2	MF47.flg22minus
MAE292	MF47	flg22plus	e2	MF47.flg22plus
MAE293	MF47	flg22plus	e2	MF47.flg22plus
MAE294	MF47	flg22plus	e2	MF47.flg22plus
MAE295	MF50	flg22minus	e2	MF50.flg22minus
MAE296	MF50	flg22minus	e2	MF50.flg22minus
MAE297	MF50	flg22minus	e2	MF50.flg22minus
MAE298	MF50	flg22plus	e2	MF50.flg22plus
MAE299	MF50	flg22plus	e2	MF50.flg22plus
MAE300	MF50	flg22plus	e2	MF50.flg22plus
MAE301	MF79	flg22minus	e2	MF79.flg22minus
MAE302	MF79	flg22minus	e2	MF79.flg22minus
MAE303	MF79	flg22minus	e2	MF79.flg22minus
MAE304	MF79	flg22plus	e2	MF79.flg22plus
MAE305	MF79	flg22plus	e2	MF79.flg22plus
MAE306	MF79	flg22plus	e2	MF79.flg22plus
MAE307	MF105	flg22minus	e2	MF105.flg22minus
MAE308	MF105	flg22minus	e2	MF105.flg22minus
MAE309	MF105	flg22minus	e2	MF105.flg22minus
MAE310	MF105	flg22plus	e2	MF105.flg22plus
MAE311	MF105	flg22plus	e2	MF105.flg22plus
MAE313	MF109	flg22minus	e2	MF109.flg22minus
MAE314	MF109	flg22minus	e2	MF109.flg22minus
MAE315	MF109	flg22minus	e2	MF109.flg22minus
MAE316	MF109	flg22plus	e2	MF109.flg22plus
MAE317	MF109	flg22plus	e2	MF109.flg22plus
MAE318	MF109	flg22plus	e2	MF109.flg22plus
MAE319	MF125	flg22minus	e2	MF125.flg22minus
MAE320	MF125	flg22minus	e2	MF125.flg22minus
MAE321	MF125	flg22minus	e2	MF125.flg22minus
MAE323	MF125	flg22plus	e2	MF125.flg22plus
MAE324	MF125	flg22plus	e2	MF125.flg22plus
MAE325	MF136	flg22minus	e2	MF136.flg22minus
MAE326	MF136	flg22minus	e2	MF136.flg22minus
MAE327	MF136	flg22minus	e2	MF136.flg22minus
MAE328	MF136	flg22plus	e2	MF136.flg22plus
MAE329	MF136	flg22plus	e2	MF136.flg22plus
MAE330	MF136	flg22plus	e2	MF136.flg22plus
MAE331	MF138	flg22minus	e2	MF138.flg22minus
MAE332	MF138	flg22minus	e2	MF138.flg22minus
MAE333	MF138	flg22minus	e2	MF138.flg22minus
MAE334	MF138	flg22plus	e2	MF138.flg22plus
MAE335	MF138	flg22plus	e2	MF138.flg22plus
MAE336	MF138	flg22plus	e2	MF138.flg22plus
MAE337	MF161	flg22minus	e2	MF161.flg22minus
MAE338	MF161	flg22minus	e2	MF161.flg22minus
MAE339	MF161	flg22minus	e2	MF161.flg22minus
MAE340	MF161	flg22plus	e2	MF161.flg22plus
MAE341	MF161	flg22plus	e2	MF161.flg22plus
MAE342	MF161	flg22plus	e2	MF161.flg22plus
MAE343	MF181	flg22minus	e2	MF181.flg22minus
MAE344	MF181	flg22minus	e2	MF181.flg22minus
MAE345	MF181	flg22minus	e2	MF181.flg22minus
MAE346	MF181	flg22plus	e2	MF181.flg22plus
MAE347	MF181	flg22plus	e2	MF181.flg22plus
MAE348	MF181	flg22plus	e2	MF181.flg22plus
MAE349	MF273	flg22minus	e2	MF273.flg22minus
MAE350	MF273	flg22minus	e2	MF273.flg22minus
MAE351	MF273	flg22minus	e2	MF273.flg22minus
MAE352	MF273	flg22plus	e2	MF273.flg22plus
MAE353	MF273	flg22plus	e2	MF273.flg22plus
MAE354	MF273	flg22plus	e2	MF273.flg22plus
MAE355	MF299	flg22minus	e2	MF299.flg22minus
MAE356	MF299	flg22minus	e2	MF299.flg22minus
MAE357	MF299	flg22minus	e2	MF299.flg22minus
MAE358	MF299	flg22plus	e2	MF299.flg22plus
MAE360	MF299	flg22plus	e2	MF299.flg22plus
MAE361	MF302	flg22minus	e2	MF302.flg22minus
MAE362	MF302	flg22minus	e2	MF302.flg22minus
MAE363	MF302	flg22minus	e2	MF302.flg22minus
MAE364	MF302	flg22plus	e2	MF302.flg22plus
MAE365	MF302	flg22plus	e2	MF302.flg22plus
MAE366	MF302	flg22plus	e2	MF302.flg22plus
MAE367	MF303	flg22minus	e2	MF303.flg22minus
MAE368	MF303	flg22minus	e2	MF303.flg22minus
MAE369	MF303	flg22minus	e2	MF303.flg22minus
MAE370	MF303	flg22plus	e2	MF303.flg22plus
MAE371	MF303	flg22plus	e2	MF303.flg22plus
MAE372	MF303	flg22plus	e2	MF303.flg22plus
MAE373	MF314	flg22minus	e2	MF314.flg22minus
MAE374	MF314	flg22minus	e2	MF314.flg22minus
MAE375	MF314	flg22minus	e2	MF314.flg22minus
