Sample #	Bacteria	Treatment	Experiment	Group
MAE579	MF138	flg22minus	e3	MF138.flg22minus
MAE580	MF138	flg22plus	e3	MF138.flg22plus
MAE581	MF138	flg22plus	e3	MF138.flg22plus
MAE582	MF138	flg22plus	e3	MF138.flg22plus
MAE583	MF161	flg22minus	e3	MF161.flg22minus
MAE584	MF161	flg22minus	e3	MF161.flg22minus
MAE585	MF161	flg22minus	e3	MF161.flg22minus
MAE586	MF161	flg22plus	e3	MF161.flg22plus
MAE587	MF161	flg22plus	e3	MF161.flg22plus
MAE588	MF161	flg22plus	e3	MF161.flg22plus
MAE589	MF181	flg22minus	e3	MF181.flg22minus
MAE590	MF181	flg22minus	e3	MF181.flg22minus
MAE591	MF181	flg22minus	e3	MF181.flg22minus
MAE592	MF181	flg22plus	e3	MF181.flg22plus
MAE593	MF181	flg22plus	e3	MF181.flg22plus
MAE594	MF181	flg22plus	e3	MF181.flg22plus
MAE595	MF273	flg22minus	e3	MF273.flg22minus
MAE596	MF273	flg22minus	e3	MF273.flg22minus
MAE597	MF273	flg22minus	e3	MF273.flg22minus
MAE598	MF273	flg22plus	e3	MF273.flg22plus
MAE599	MF273	flg22plus	e3	MF273.flg22plus
MAE600	MF273	flg22plus	e3	MF273.flg22plus
MAE601	MF299	flg22minus	e3	MF299.flg22minus
MAE602	MF299	flg22minus	e3	MF299.flg22minus
MAE603	MF299	flg22minus	e3	MF299.flg22minus
MAE604	MF299	flg22plus	e3	MF299.flg22plus
MAE605	MF299	flg22plus	e3	MF299.flg22plus
MAE606	MF299	flg22plus	e3	MF299.flg22plus
MAE607	MF302	flg22minus	e3	MF302.flg22minus
MAE608	MF302	flg22minus	e3	MF302.flg22minus
MAE609	MF302	flg22minus	e3	MF302.flg22minus
MAE610	MF302	flg22plus	e3	MF302.flg22plus
MAE611	MF302	flg22plus	e3	MF302.flg22plus
MAE612	MF302	flg22plus	e3	MF302.flg22plus
MAE613	MF303	flg22minus	e3	MF303.flg22minus
MAE614	MF303	flg22minus	e3	MF303.flg22minus
MAE615	MF303	flg22minus	e3	MF303.flg22minus
MAE616	MF303	flg22plus	e3	MF303.flg22plus
MAE617	MF303	flg22plus	e3	MF303.flg22plus
MAE618	MF303	flg22plus	e3	MF303.flg22plus
MAE619	MF314	flg22minus	e3	MF314.flg22minus
MAE620	MF314	flg22minus	e3	MF314.flg22minus
MAE621	MF314	flg22minus	e3	MF314.flg22minus
MAE622	MF314	flg22plus	e3	MF314.flg22plus
